Price Date,Close Price
13-01-2016,1083.4
12-01-2016,1049.95
11-01-2016,1055.7
08-01-2016,1063.3
07-01-2016,1050.8
06-01-2016,1069.35
05-01-2016,1074.05
04-01-2016,1078.9
01-01-2016,1105.25
31-12-2015,1105.4
30-12-2015,1086.3
29-12-2015,1104.7
28-12-2015,1104.75
24-12-2015,1096.35
23-12-2015,1100.85
22-12-2015,1083.75
21-12-2015,1103.45
18-12-2015,1083.15
17-12-2015,1107.1
16-12-2015,1095.85
15-12-2015,1077.55
14-12-2015,1069.5
11-12-2015,1052.8
10-12-2015,1047.35
09-12-2015,1028.2
08-12-2015,1044.4
07-12-2015,1046.25
04-12-2015,1049.05
03-12-2015,1057.75
02-12-2015,1060.7
01-12-2015,1079
30-11-2015,1087.9
27-11-2015,1066.35
26-11-2015,1052.4
24-11-2015,1041.15
23-11-2015,1053.7
20-11-2015,1052.4
19-11-2015,1047.8
18-11-2015,1020
17-11-2015,1061.5
16-11-2015,1080.2
13-11-2015,1100.8
11-11-2015,1107.6
10-11-2015,1103.85
09-11-2015,1134.6
06-11-2015,1138.3
05-11-2015,1122.9
